"Qualification","Experience","Rating","Place","Profile","Fees"
"MBBS, MD - Medicine",47,74,"Banashankari 2nd Stage, Bangalore","General Medicine",500
"MBBS, DDV",16,95,"Kukatpally, Hyderabad","Dermatologists",400
"BAMS, MD - Ayurveda Medicine",12,95,"Koramangala 4 Block, Bangalore","Ayurveda",150
"MS - ENT, MBBS, DNB",13,94,"KPHB, Hyderabad","ENT Specialist",400
"MBBS, DNB - Otorhinolaryngology",11,95,"Dwarka Sector 3, Delhi","ENT Specialist",550
"BAMS, Advance Diploma in Nutrition and Dietetics, Certificate in Yoga & Meditation",5,100,"Banashankari 2nd Stage, Bangalore","Ayurveda",300
"MBBS, DDV",29,95,"Vijayanagar, Bangalore","Dermatologists",350
"MBBS",16,100,"Dadar, Mumbai","General Medicine",800
"MBBS, MD - General Medicine",41,95,"Old Rajendra Nagar, Delhi","General Medicine",100
"MBBS, MD - General Medicine",13,95,"Tambaram West, Chennai","General Medicine",300
"BDS, MSc - Forensic Odontology",12,99,"Ramanathapuram, Coimbatore","Dentist",100
"MBBS, MD - General Medicine, DM - Nephrology",7,100,"Kukatpally, Hyderabad","General Medicine",500
"MBBS, FCD - Diabetology",13,95,"Kammana Halli, Bangalore","General Medicine",450
"FRCS - General Surgery, MBBS",38,95,"Saibaba Colony, Coimbatore","General Medicine",300
"BAMS, CGO",21,95,"Mulund East, Mumbai","Ayurveda",100
"BAMS",13,97,"Whitefield, Bangalore","Ayurveda",350
"BHMS",21,95,"Rohini, Delhi","Homeopath",500
"BDS, MDS - Periodontics",2,95,"Durga Puri, Delhi","Dentist",250
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",17,98,"Andheri West, Mumbai","ENT Specialist",100
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",24,95,"Mogappair West, Chennai","General Medicine",150
"MBBS, MD - Cardiology",12,96,"Shivaji Nagar, Bangalore","General Medicine",400
"BAMS",9,95,"Dahisar East, Mumbai","Ayurveda",100
"BDS, PGDE (Cosmetic & Esthetic Dentist)",18,95,"Prabhadevi, Mumbai","Dentist",100
"MDS - Prosthodontist And Crown Bridge, BDS",8,100,"Bellandur, Bangalore","Dentist",100
"MBBS, DDV",18,78,"Krishna Nagar, Delhi","Dermatologists",300
"MBBS",43,87,"Koramangala, Bangalore","General Medicine",200
"BDS",12,98,"Safdarjung Enclave, Delhi","Dentist",500
"MBBS, MS - ENT",30,95,"Rohini, Delhi","ENT Specialist",100
"MBBS",30,95,"Andheri West, Mumbai","ENT Specialist",700
"BHMS",11,95,"Kaloor, Ernakulam","Homeopath",50
"MBBS",28,95,"Prabhadevi, Mumbai","General Medicine",500
"BAMS",19,95,"Kanakpura Road, Bangalore","Ayurveda",300
"BAMS, MD - Ayurveda Medicine",11,95,"Banashankari 1st Stage, Bangalore","Ayurveda",200
"BDS",2,100,"Ghatkopar East, Mumbai","Dentist",100
"BDS, Post Graduate Diploma in Orthodontics, Post Graduate Certificate in Advanced Oral Implantology, Implant Externship Program",27,95,"Kalamassery, Ernakulam","Dentist",100
"BHMS, MD - Homeopathy",24,88,"Madhu Vihar, Delhi","Homeopath",300
"BAMS",0,95,"Gulmohar Park, Delhi","Ayurveda",100
"BAMS",16,95,"Dahisar, Mumbai","Ayurveda",100
"MBBS, MS - ENT",20,95,"Konanakunte, Bangalore","ENT Specialist",250
"MBBS, MD - Dermatology",14,96,"Adugodi, Bangalore","Dermatologists",350
"BDS, MDS",15,95,"Moti Nagar, Hyderabad","Dentist",100
"MBBS, MS - ENT",12,95,"Chembur, Mumbai","ENT Specialist",100
"BHMS, MD - Homeopathy, Diploma in Nutrition and Health Education",17,95,"Tilak Nagar, Delhi","Homeopath",300
"BDS, MDS - Orthodontics",20,100,"Virugambakkam, Chennai","Dentist",200
"BHMS, MD - Homeopathy",6,95,"Kumarapuram, Thiruvananthapuram","Homeopath",150
"MBBS, MD - Dermatology",12,98,"Rajarajeshwarinagar, Bangalore","Dermatologists",300
"BAMS, D.Y.A",19,95,"Dadar West, Mumbai","Ayurveda",300
"MBBS, MD - General Medicine",16,95,"Anna Nagar, Chennai","General Medicine",400
"BDS, MDS - Prosthodontics, Fellowship in Oral implantlogy",20,94,"KPHB, Hyderabad","Dentist",200
"MBBS, Diploma of the Faculty of Family Planning (DFFP), Diploma in Practical Dermatology, MRCGP",17,91,"Banjara Hills, Hyderabad","Dermatologists",500
"MBBS, MD - General Medicine",38,95,"Malakpet, Hyderabad","General Medicine",600
"MBBS, MD - Dermatology",43,100,"Greater Kailash Part 1, Delhi","Dermatologists",100
"BHMS",11,95,"Nallagandla, Hyderabad","Homeopath",300
"Diploma in Otorhinolaryngology (DLO), MBBS",21,95,"Villivakkam, Chennai","ENT Specialist",350
"BDS, MDS - Conservative Dentistry & Endodontics",9,98,"Attapur, Hyderabad","Dentist",200
"BDS, MDS - Conservative Dentistry & Endodontics",7,100,"Anna Nagar, Chennai","Dentist",200
"MD - Dermatology , Venereology & Leprosy, MBBS",7,95,"Kodungaiyur, Chennai","Dermatologists",200
"MBBS, MD - General Medicine",9,95,"Sheikh Sarai, Delhi","General Medicine",100
"MBBS, MD - Dermatology , Venereology & Leprosy",13,100,"Kukatpally, Hyderabad","Dermatologists",500
"MBBS, MS - ENT",28,95,"Vijayanagar, Bangalore","ENT Specialist",300
"MBBS, MSc - Clinical Dermatology",7,95,"Whitefield, Bangalore","Dermatologists",600
"MBBS, MD - Internal Medicine",27,95,"Rajajinagar, Bangalore","General Medicine",450
"MBBS, DDV, MD - Dermatology",18,97,"Andheri West, Mumbai","Dermatologists",900
"MBBS, MSc - Clinical Dermatology",2,100,"Frazer Town, Bangalore","Dermatologists",500
"MDS - Orthodontics, BDS, Invisalign Training Course",16,98,"HSR Layout, Bangalore","Dentist",100
"BDS, MDS - Periodontology and Oral Implantology",18,96,"Jayanagar 4 Block, Bangalore","Dentist",300
"DDVL, MBBS",3,95,"Millers Road, Bangalore","Dermatologists",700
"BHMS",8,95,"Shalimar Bagh, Delhi","Homeopath",100
"BDS",0,95,"Tatabad, Coimbatore","Dentist",150
"MBBS, Diploma in Dermatology",29,63,"Malkajgiri, Hyderabad","Dermatologists",500
"MBBS, DNB - Internal Medicine",7,95,"Somajiguda, Hyderabad","General Medicine",350
"MBBS, MS - ENT",33,95,"Punjabi Bagh, Delhi","ENT Specialist",500
"BDS",3,95,"Prabhadevi, Mumbai","Dentist",500
"BDS, MDS - Conservative Dentistry & Endodontics",19,100,"Kondapur, Hyderabad","Dentist",200
"MBBS, MS - Otorhinolaryngology",2,95,"Vijaynagar Colony, Hyderabad","ENT Specialist",300
"MBBS, Diploma in Child Health (DCH)",31,95,"Karol Bagh, Delhi","General Medicine",800
"MDS - Prosthodontist And Crown Bridge, BDS",18,93,"Shahdara, Delhi","Dentist",200
"MBBS, Diploma in Otorhinolaryngology (DLO), MD-DVL",7,95,"Kolathur, Chennai","ENT Specialist",300
"MBBS, MD - Dermatology",5,95,"Rajouri Garden, Delhi","Dermatologists",500
"BDS, Advanced Certificate in Endodontics and Esthetics, Advanced Certificate Course in Aesthetic Dentistry, Advanced Certificate Course in Dental Implants",3,100,"Gowrivakkam, Chennai","Dentist",100
"MBBS, Masters in Clinical Dermatology, DNB - Dermatology & Venereology",15,73,"East Of Kailash, Delhi","Dermatologists",800
"BDS, MDS - Conservative Dentistry & Endodontics",15,99,"South Extension 1, Delhi","Dentist",300
"BAMS",34,95,"Uttam Nagar, Delhi","Ayurveda",500
"MBBS",28,95,"Thoraipakkam, Chennai","General Medicine",100
"MBBS",7,95,"Malad West, Mumbai","General Medicine",400
"MBBS, MS - Orthopaedics, Fellowship in Joint Replacement, M.Ch - Orthopaedics, Diploma in Orthopaedics",22,100,"T Nagar, Chennai","General Medicine",500
"BDS, MDS - Pedodontics",25,100,"Nungambakkam, Chennai","Dentist",500
"MBBS, MS - ENT",15,95,"Periyar Nagar, Chennai","ENT Specialist",250
"MDS - Prosthodontist And Crown Bridge, BDS",10,100,"Vasant Vihar, Delhi","Dentist",500
"B.Ac, BEMS",8,95,"Austin Town, Bangalore","Homeopath",400
"MBBS, MS - ENT",11,95,"Banashankari 3rd Stage, Bangalore","ENT Specialist",400
"BAMS, MD - Ayurveda Medicine",21,95,"Dwarka, Delhi","Ayurveda",200
"MBBS, Diploma in Dermatology",24,75,"Himayat Nagar, Hyderabad","Dermatologists",400
"BAMS",16,95,"Ghatkopar East, Mumbai","Ayurveda",80
"MD - Medicine, MBBS",28,95,"South Extension 2, Delhi","General Medicine",100
"MBBS, MD - General Medicine, MD - Internal Medicine",20,95,"Banjara Hills, Hyderabad","General Medicine",400
"BHMS",7,95,"Malleswaram, Bangalore","Homeopath",100
"BAMS",18,95,"Powai, Mumbai","Ayurveda",50
"BDS",2,100,"Marathahalli, Bangalore","Dentist",200
"BDS",3,95,"Koramangala, Bangalore","Dentist",100
"BAMS",24,95,"Andheri East, Mumbai","Ayurveda",100
"MBBS, MD - Dermatology, Diploma in Venereology, Diploma in Dermatology & Venerology",39,95,"Afzalgunj, Hyderabad","Dermatologists",500
"BAMS",11,95,"Lajpat Nagar, Delhi","Ayurveda",150
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",7,100,"Gachibowli, Hyderabad","Dentist",500
"MBBS, MD - Dermatology",6,95,"Indiranagar, Bangalore","Dermatologists",500
"BHMS",20,95,"Bhandup West, Mumbai","Homeopath",300
"BAMS, MD - Ayurveda Medicine",23,95,"Kalyan Nagar, Bangalore","Ayurveda",300
"BAMS, MD - Ayurveda Medicine",20,100,"Borivali West, Mumbai","Ayurveda",500
"BDS, MDS - Oral & Maxillofacial Surgery",9,95,"Mazgaon, Mumbai","Dentist",200
"BHMS, MD - Homeopathy, MS - Counselling and Psychotherapy",8,99,"Malkajgiri, Hyderabad","Homeopath",150
"MDS - Prosthodontics, BDS",7,100,"Dadar West, Mumbai","Dentist",100
"MBBS, MD - Dermatology",36,95,"Andheri West, Mumbai","Dermatologists",100
"BHMS, MD - Homeopathy",9,75,"Sholinganallur, Chennai","Homeopath",200
"MBBS, MD - Pharmacology, Diploma in Family Medicine (DFM)",33,95,"Poonamalle, Chennai","General Medicine",100
"MBBS, MS - General Surgery, DNB - ENT",32,95,"Secunderabad, Hyderabad","ENT Specialist",500
"MBBS, FACC, FSCAI",19,95,"Vadavalli, Coimbatore","General Medicine",250
"MBBS, MD - General Medicine",28,95,"Malleswaram, Bangalore","General Medicine",500
"MBBS, FAMS - Fellowship of the Academy Medicine",37,95,"Andheri West, Mumbai","General Medicine",600
"MD - Dermatology , Venereology & Leprosy, MBBS",7,95,"Kukatpally, Hyderabad","Dermatologists",350
"BAMS",3,95,"Prabhadevi, Mumbai","Ayurveda",200
"MBBS, MD - Dermatology",5,85,"Horamavu, Bangalore","Dermatologists",600
"MDS - Conservative Dentistry & Endodontics, BDS",15,95,"Cotton Hill, Thiruvananthapuram","Dentist",200
"BAMS, Certificate Course in Positive Psychology, Clinical Nutritionist certifcate",9,100,"Basaveshwaranagar, Bangalore","Ayurveda",200
"BAMS, M.Sc - Counselling and Family Therapy, CGO, D. Dermatology (Ay.)",22,85,"Ghatkopar East, Mumbai","Ayurveda",300
"BAMS",8,95,"HSR Layout, Bangalore","Ayurveda",300
"BAMS",11,95,"Jayanagar 9 Block, Bangalore","Ayurveda",100
"BAMS, MD - Yoga and Rehab",8,95,"Yeshwanthpur, Bangalore","Ayurveda",400
"BDS, MDS - Conservative Dentistry & Endodontics",0,96,"Khar West, Mumbai","Dentist",100
"BHMS, Diploma in Diet and Nutrition",16,83,"Mira Road, Mumbai","Homeopath",500
"MD - Anaesthesiology, MBBS",19,95,"Sholinganallur, Chennai","General Medicine",350
"BDS",9,95,"Goldwins, Coimbatore","Dentist",100
"MDS-Oral Pathology and Oral Microbiology, BDS",6,100,"Chromepet, Chennai","Dentist",100
"MBBS, DNB - ENT",8,94,"Kalyan Nagar, Bangalore","ENT Specialist",500
"MBBS",19,95,"Malad West, Mumbai","Dermatologists",400
"BHMS, Certificate Course in Advanced Homoeopathy (C.C.A.H)",18,99,"Secunderabad, Hyderabad","Homeopath",100
"MBBS",42,95,"Goregaon West, Mumbai","General Medicine",400
"BDS",4,95,"Gachibowli, Hyderabad","Dentist",300
"MBBS, Master of Family Medicine, Diploma in Geriatric Medicine",24,100,"KPHB, Hyderabad","General Medicine",250
"BAMS",20,95,"Vikhroli East, Mumbai","Ayurveda",50
"MBBS, MD - General Medicine",13,95,"Lakdikapul, Hyderabad","General Medicine",500
"BDS",2,95,"Royapettah, Chennai","Dentist",200
"BHMS, MD - Homeopathy",19,100,"Jayanagar 9 Block, Bangalore","Homeopath",350
"MBBS, MS - Obstetrics & Gynaecology",22,95,"Kuravankonam, Thiruvananthapuram","General Medicine",100
"MBBS, Diploma in Otorhinolaryngology (DLO), MD - Community Medicine",20,100,"Tambaram East, Chennai","General Medicine",100
"BDS",11,100,"Tarnaka, Hyderabad","Dentist",200
"BAMS",25,95,"Dilshad Garden, Delhi","Ayurveda",150
"BHMS",11,95,"Vikhroli West, Mumbai","Homeopath",100
"BDS, MDS - Orthodontics",18,100,"Anand Niketan, Delhi","Dentist",500
"BDS",7,97,"Mulund West, Mumbai","Dentist",200
"MBBS, MS - ENT",18,88,"Kondapur, Hyderabad","ENT Specialist",350
"MBBS, MD - Pathology",4,95,"Kammana Halli, Bangalore","General Medicine",500
"MBBS, MS - ENT",13,95,"Choolaimedu, Chennai","ENT Specialist",250
"BHMS, MD - Homeopathy",16,95,"Banashankari 2nd Stage, Bangalore","Homeopath",300
"BAMS",14,95,"Malad West, Mumbai","Ayurveda",250
"BDS, MDS- Root Canal Specialist, Diploma in Implanthology",9,96,"Ramanathapuram, Coimbatore","Dentist",100
"MBBS, MS - ENT",24,92,"Koramangala, Bangalore","ENT Specialist",300
"MBBS, MS - ENT",33,95,"Rohini Sector 3, Delhi","ENT Specialist",600
"BDS",9,100,"Gandhipuram, Coimbatore","Dentist",100
"MBBS, MS - ENT",18,98,"Chembur, Mumbai","ENT Specialist",700
"MBBS, DNB, FCCP - Pulmonary Medicine",32,95,"Mallepally, Hyderabad","General Medicine",200
"MBBS",23,95,"Kandivali East, Mumbai","General Medicine",200
"MBBS, DDV",18,98,"Indiranagar, Bangalore","Dermatologists",500
"MBBS, Diploma in Otorhinolaryngology (DLO), MD - Dermatology , Venereology & Leprosy",17,95,"Velachery, Chennai","ENT Specialist",250
"MBBS, MS - Otorhinolaryngology, DNB - Otorhinolaryngology",11,95,"Patparganj, Delhi","ENT Specialist",500
"BDS",16,95,"Indiranagar, Bangalore","Dentist",300
"BHMS",30,95,"Malviya Nagar, Delhi","Homeopath",400
"MBBS, MD - Medicine",24,95,"New BEL Road, Bangalore","General Medicine",300
"MBBS",28,95,"Nizampet, Hyderabad","General Medicine",350
"Diploma in Otorhinolaryngology (DLO), MBBS",3,95,"Lado Sarai, Delhi","ENT Specialist",150
"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",10,100,"Nagawara, Bangalore","Dentist",300
"MBBS, MS - ENT",13,95,"Saroor Nagar, Hyderabad","ENT Specialist",200
"MBBS",37,95,"Nanganallur, Chennai","General Medicine",100
"MBBS, MD - Medicine",35,95,"Shalimar Bagh, Delhi","General Medicine",100
"DDV, MBBS",23,86,"Bandra West, Mumbai","Dermatologists",100
"BAMS",19,95,"Sakinaka, Mumbai","Ayurveda",100
"Diploma in Otorhinolaryngology (DLO), MS - ENT",39,95,"Kilpauk, Chennai","ENT Specialist",100
"BDS, MDS - Conservative Dentistry & Endodontics",16,98,"Edapally, Ernakulam","Dentist",200
"MBBS, DDV, MD - Dermatology",21,98,"Vikas Puri, Delhi","Dermatologists",500
"DNB - Orthopedics/Orthopedic Surgery, MBBS",13,95,"Ghatkopar West, Mumbai","General Medicine",400
"MBBS",7,95,"Velachery, Chennai","General Medicine",100
"MBBS, MS - ENT, DNB - ENT, Diploma in Otorhinolaryngology (DLO), FCPS (ENT)",15,95,"Mulund West, Mumbai","ENT Specialist",800
"MBBS, MD - Dermatology",15,96,"Palam Colony, Delhi","Dermatologists",400
"MBBS, MD - General Medicine",38,90,"Janak Puri, Delhi","General Medicine",100
"MBBS, MD - Dermatology",19,71,"Banashankari 2nd Stage, Bangalore","Dermatologists",350
"BDS, Certificate in Implantology",6,98,"Patel Nagar West, Delhi","Dentist",150
"MS - General Surgery, MBBS",32,95,"Bandra West, Mumbai","General Medicine",100
"BDS, Post Graduate Diploma in Medicological Systems (PGDMS), PG Diploma In Health & Hospital Management",12,98,"Dahisar East, Mumbai","Dentist",100
"MBBS, MD - Dermatology , Venereology & Leprosy",9,71,"Panchsheel Park, Delhi","Dermatologists",100
"BDS, MDS",13,95,"Coimbatore Ukkadam, Coimbatore","Dentist",100
"BHMS, MD - Homeopathy",18,99,"Indiranagar, Bangalore","Homeopath",500
"BDS, MDS - Prosthodontist And Crown Bridge",12,98,"Begumpet, Hyderabad","Dentist",150
"MBBS, DDV, DDVL, MD - Dermatology , Venereology & Leprosy",25,95,"Mulund, Mumbai","Dermatologists",100
"MD - Dermatology , Venereology & Leprosy, MBBS",9,100,"Shalimar Bagh, Delhi","Dermatologists",700
"BDS, MDS - Conservative Dentistry & Endodontics",9,100,"Tambaram East, Chennai","Dentist",100
"MBBS, MD - Family Medicine",12,97,"Kondapur, Hyderabad","General Medicine",400
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",19,95,"Sembakkam, Chennai","ENT Specialist",200
"BAMS",6,95,"Kalkaji, Delhi","Ayurveda",200
"BHMS",10,95,"RT Nagar, Bangalore","Homeopath",300
"MBBS, MS - Otorhinolaryngology, Diploma in Otorhinolaryngology (DLO), FCPS - General Surgery, MS - ENT, DORL (ENT), FCPS - Oto-Rhino-Laryngology",27,98,"Dadar East, Mumbai","ENT Specialist",100
"MBBS, MD - General Medicine, FCCP - Pulmonary Medicine",21,95,"Besant Nagar, Chennai","General Medicine",300
"MBBS, MD - General Medicine",22,95,"Manikonda, Hyderabad","General Medicine",200
"MBBS, MD - General Medicine, DNB - General Medicine",26,95,"Vileparle West, Mumbai","General Medicine",100
"BDS, MDS - Oral & Maxillofacial Surgery",11,100,"Pusa Road, Delhi","Dentist",100
"BDS, MDS - Conservative Dentistry & Endodontics",8,95,"Attapur, Hyderabad","Dentist",100
"BDS, MDS - Oral & Maxillofacial Surgery, Certificate in Dental Implants, Certification in Aesthetic Dentistry",0,95,"Saibaba Colony, Coimbatore","Dentist",200
"DHMS (Diploma in Homeopathic Medicine and Surgery), BSc - Zoology",24,95,"Vyttila, Ernakulam","Homeopath",200
"MD - Medicine, MBBS",38,95,"Laxmi Nagar, Delhi","General Medicine",200
"MS - ENT",14,95,"Kodambakkam, Chennai","ENT Specialist",200
"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",7,95,"Nanganallur, Chennai","Dentist",100
"MBBS, MD - General Medicine, Fellowship in Rheumatology",29,97,"Somajiguda, Hyderabad","General Medicine",600
"MD - Dermatology, MBBS",22,94,"New Rajendra Nagar, Delhi","Dermatologists",700
"BDS",19,97,"New Rajendra Nagar, Delhi","Dentist",300
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",18,95,"HBR Layout, Bangalore","ENT Specialist",200
"MBBS, DNB - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",14,95,"Chembur, Mumbai","General Medicine",700
"MD - Dermatology , Venereology & Leprosy, Certificate in Medical Cosmetology and Aesthetics, MBBS",5,95,"Green Park, Delhi","Dermatologists",800
"BAMS, MD - Ayurveda Medicine",26,95,"Malad East, Mumbai","Ayurveda",300
"DHMS (Diploma in Homeopathic Medicine and Surgery), MD - Homeopathy",13,95,"Ashok Vihar, Delhi","Homeopath",200
"MBBS, DDVL",18,89,"Koramangala 4 Block, Bangalore","Dermatologists",600
"BHMS",9,95,"Trimulgherry, Hyderabad","Homeopath",300
"LCEH",40,95,"Govandi, Mumbai","Homeopath",100
"BDS, MDS",27,94,"Koramangala 2 Block, Bangalore","Dentist",100
"BDS, MDS - Prosthodontics",13,95,"Aluva, Ernakulam","Dentist",100
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",13,99,"BTM Layout 2nd Stage, Bangalore","Dentist",200
"BAMS",5,95,"Dahisar East, Mumbai","Ayurveda",500
"BHMS",27,92,"Dwarka, Delhi","Homeopath",400
"MBBS",39,95,"Indiranagar, Bangalore","General Medicine",100
"BDS",9,95,"Santacruz West, Mumbai","Dentist",100
"MBBS, MD - General Medicine",22,95,"Rajakilpakkam, Chennai","General Medicine",200
"MD - General Medicine, MBBS",7,90,"Kalyan Nagar, Bangalore","General Medicine",300
"MBBS, MD - General Medicine",37,95,"Preet Vihar, Delhi","General Medicine",500
"BDS",3,90,"Madangir, Delhi","Dentist",200
"BAMS, MD - Ayurveda Medicine",8,95,"Yelahanka, Bangalore","Ayurveda",300
"BDS",19,94,"Karamana, Thiruvananthapuram","Dentist",200
"MBBS, MS - ENT",30,95,"Vidyanagar, Hyderabad","ENT Specialist",500
"MBBS, Diploma in Otorhinolaryngology (DLO)",24,99,"Indiranagar, Bangalore","ENT Specialist",100
"MBBS, DNB - Dermatology & Venereology",8,95,"Kukatpally, Hyderabad","Dermatologists",100
"BDS, MDS - Prosthodontist And Crown Bridge",4,95,"Patel Nagar East, Delhi","Dentist",250
"BAMS",2,95,"Jubilee Hills, Hyderabad","Ayurveda",200
"MBBS, MS - Otorhinolaryngology, Fellowship in Implantology, DNB",8,95,"Jeedimetla, Hyderabad","ENT Specialist",250
"BHMS",5,80,"Lajpat Nagar, Delhi","Homeopath",100
"BHMS, MD - Homeopathy",13,95,"Serilingampally, Hyderabad","Homeopath",150
"BHMS",19,99,"Kundalahalli, Bangalore","Homeopath",400
"BHMS",22,94,"KK Nagar, Chennai","Homeopath",200
"BDS, MDS - Conservative Dentistry & Endodontics",19,97,"R.S. Puram, Coimbatore","Dentist",200
"MD - Ayurveda Medicine, BAMS",10,95,"KPHB, Hyderabad","Ayurveda",200
"MBBS, MD - Dermatology , Venereology & Leprosy",12,93,"SR Nagar, Hyderabad","Dermatologists",300
"BDS, MDS - Orthodontics and Orofacial Orthopaedics, Advanced Certificate Course in Dental Implants",13,97,"Saibaba Colony, Coimbatore","Dentist",100
"MBBS, DNB - Dermatology & Venereology",9,95,"Marine Drive, Mumbai","Dermatologists",100
"BAMS",5,95,"Uppal, Hyderabad","Ayurveda",150
"BAMS",8,95,"Sakinaka, Mumbai","Ayurveda",100
"MBBS, MS - ENT",14,96,"Andheri East, Mumbai","ENT Specialist",800
"MBBS, Diploma in Otorhinolaryngology (DLO)",16,95,"Banaswadi, Bangalore","ENT Specialist",250
"BHMS",3,95,"Jalahalli, Bangalore","Homeopath",300
"MBBS, MS - ENT, MRCS (UK), Diploma in Otorhinolaryngology (DLO)",21,97,"Madhapur, Hyderabad","ENT Specialist",450
"BDS, MDS - Periodontics",12,95,"R.S. Puram, Coimbatore","Dentist",300
"MBBS, MS - ENT",7,95,"Manikonda, Hyderabad","ENT Specialist",300
"BAMS",9,95,"Kaloor, Ernakulam","Ayurveda",200
"MBBS, MS - Otorhinolaryngology, MCh - Head and Neck Oncology",11,95,"Kengeri, Bangalore","ENT Specialist",600
"BHMS, MD - Homeopathy",17,98,"Virugambakkam, Chennai","Homeopath",600
"MBBS, MD - General Medicine",14,95,"Kanchanbagh, Hyderabad","General Medicine",700
"BAMS",10,95,"Chromepet, Chennai","Ayurveda",100
"MBBS, M.D. (Psychiatry)",10,98,"Andheri East, Mumbai","General Medicine",100
"BAMS",19,94,"Koramangala, Bangalore","Ayurveda",300
"MDS - Orthodontics, BDS",30,95,"Banerji Road, Ernakulam","Dentist",200
"MBBS, MRCP (UK), MSc - Clinical Dermatology",14,100,"Malakpet, Hyderabad","Dermatologists",250
"BDS, MDS - Orthodontics",13,95,"Thoraipakkam, Chennai","Dentist",200
"BHMS, MD - Homeopathy",9,100,"Malabar Hill, Mumbai","Homeopath",100
"BDS, MDS - Endodontics",5,93,"Thoraipakkam, Chennai","Dentist",200
"MDS - Orthodontics, BDS",9,95,"Kondapur, Hyderabad","Dentist",200
"BHMS, MD - Homeopathy",29,95,"Lajpat Nagar, Delhi","Homeopath",500
"BDS, MDS - Orthodontics",19,98,"Marine Drive, Ernakulam","Dentist",100
"BDS",14,99,"Angamaly, Ernakulam","Dentist",100
"MBBS",25,95,"JP Nagar 1 Phase, Bangalore","General Medicine",150
"BHMS, MD - Homeopathy",28,95,"Kandivali West, Mumbai","Homeopath",350
"MBBS, DDV",15,95,"Dadar West, Mumbai","Dermatologists",800
"BDS, MDS - Paedodontics And Preventive Dentistry",14,95,"Pollachi, Coimbatore","Dentist",100
"BHMS",11,95,"Singasandra, Bangalore","Homeopath",200
"MBBS",33,95,"Perambur, Chennai","General Medicine",300
"BHMS, MD - Homeopathy",31,100,"Goregaon West, Mumbai","Homeopath",500
"MBBS, MD - Dermatology",20,83,"KPHB, Hyderabad","Dermatologists",400
"MBBS, DNB - General Medicine",30,95,"Hebbal, Bangalore","General Medicine",400
"BAMS",22,95,"Goregaon East, Mumbai","Ayurveda",700
"MBBS",3,95,"R.S. Puram, Coimbatore","General Medicine",100
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology",21,85,"Saket, Delhi","Dermatologists",100
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",26,95,"Anna Nagar, Chennai","ENT Specialist",400
"MBBS, MD - Internal Medicine, FRCP",42,95,"Pattom, Thiruvananthapuram","General Medicine",100
"MBBS",19,100,"Neelankarai, Chennai","General Medicine",250
"MBBS, DDV",13,95,"Goregaon East, Mumbai","Dermatologists",500
"BDS",14,89,"Kasturi nagar, Bangalore","Dentist",300
"BHMS",27,99,"New Thippasandra, Bangalore","Homeopath",300
"MBBS, MS - Otorhinolaryngology",19,95,"Vikhroli, Mumbai","ENT Specialist",500
"MBBS, MD - Dermatology, FRGUHS",12,99,"Banashankari 2nd Stage, Bangalore","Dermatologists",400
"MBBS, Diploma in Otorhinolaryngology (DLO)",20,93,"KR Puram, Bangalore","ENT Specialist",250
"MD - Dermatology , Venereology & Leprosy, MBBS, Fellowship in Aesthetic Medicine",9,100,"Santacruz West, Mumbai","Dermatologists",800
"MD - Dermatology , Venereology & Leprosy, Fellowship in Cosmetology, Fellow Hair Transplant Surgery, MBBS",8,96,"Khar West, Mumbai","Dermatologists",700
"BHMS",13,95,"Medavakkam, Chennai","Homeopath",300
"MBBS, Diploma in Emergency Medicine, Member of the Royal College of Physicians, UK (MRCP UK)",16,95,"Tambaram West, Chennai","General Medicine",200
"BAMS",13,95,"Bhayandar East, Mumbai","Ayurveda",50
"BAMS, MD - Ayurveda Medicine",39,95,"Banjara Hills, Hyderabad","Ayurveda",500
"BDS",16,95,"Peelamedu, Coimbatore","Dentist",150
"MD - Dermatology , Venereology & Leprosy, FCPS - Dermatology, Venereology & Leprosy, DDVCPS, MBBS",10,95,"Kandivali West, Mumbai","Dermatologists",500
"BHMS",26,95,"Janak Puri, Delhi","Homeopath",500
"BDS, MDS - Conservative Dentistry & Endodontics",20,96,"Sasthamangalam, Thiruvananthapuram","Dentist",200
"DNB - Dermatology, Venereology & Leprosy, MBBS",9,100,"Khar West, Mumbai","Dermatologists",100
"BAMS, MS - Ayurveda",18,95,"Punjagutta, Hyderabad","Ayurveda",500
"DHMS (Diploma in Homeopathic Medicine and Surgery), MD - Homeopathy",34,100,"Churchgate, Mumbai","Homeopath",100
"BAMS, MS - Ayurveda",19,95,"Ramamurthy Nagar, Bangalore","Ayurveda",300
"MBBS, Diploma in Medical Cosmetology, DNB - Dermatology & Venereology",8,95,"Virugambakkam, Chennai","Dermatologists",300
"BDS",7,95,"Kalapatti, Coimbatore","Dentist",100
